date,id
22/08/2019,MVM65
06/08/2019,MVM64
13/08/2019,MVM64
27/08/2019,MVM64
03/09/2019,MVM64
10/09/2019,MVM64
17/09/2019,MVM64
24/09/2019,MVM64
01/10/2019,MVM64
08/10/2019,MVM64
15/10/2019,MVM64
08/08/2019,MVM60
13/08/2019,MVM60
03/09/2019,MVM60
10/09/2019,MVM60
17/09/2019,MVM60
26/09/2019,MVM60
01/10/2019,MVM60
08/10/2019,MVM60
08/08/2019,MVM57
10/09/2019,MVM57
06/08/2019,MVM55
13/08/2019,MVM55
20/08/2019,MVM55
27/08/2019,MVM55
03/09/2019,MVM55
10/09/2019,MVM55
17/09/2019,MVM55
24/09/2019,MVM55
01/10/2019,MVM55
08/10/2019,MVM55
06/08/2019,MVM54
13/08/2019,MVM54
20/08/2019,MVM54
27/08/2019,MVM54
03/09/2019,MVM54
10/09/2019,MVM54
17/09/2019,MVM54
24/09/2019,MVM54
01/10/2019,MVM54
10/10/2019,MVM54
15/10/2019,MVM54
01/08/2019,MVM53
08/08/2019,MVM53
13/08/2019,MVM53
22/08/2019,MVM53
29/08/2019,MVM53
05/09/2019,MVM53
12/09/2019,MVM53
26/09/2019,MVM53
03/10/2019,MVM53
10/10/2019,MVM53
20/08/2019,MVM51
27/08/2019,MVM51
03/09/2019,MVM51
10/09/2019,MVM51
17/09/2019,MVM51
24/09/2019,MVM51
01/10/2019,MVM51
08/10/2019,MVM51
15/10/2019,MVM51
29/08/2019,MVM50
19/09/2019,MVM50
10/10/2019,MVM50
13/08/2019,MVM44
22/08/2019,MVM44
27/08/2019,MVM44
05/09/2019,MVM44
12/09/2019,MVM44
17/09/2019,MVM44
24/09/2019,MVM44
01/10/2019,MVM44
08/10/2019,MVM44
27/08/2019,MVM43
10/09/2019,MVM43
24/09/2019,MVM43
01/10/2019,MVM43
08/08/2019,MVM42
13/08/2019,MVM42
22/08/2019,MVM42
29/08/2019,MVM42
05/09/2019,MVM42
19/09/2019,MVM42
26/09/2019,MVM42
24/09/2019,MVM41
08/10/2019,MVM41
15/10/2019,MVM41
06/08/2019,MVM38
13/08/2019,MVM38
20/08/2019,MVM38
05/09/2019,MVM38
17/09/2019,MVM32
13/08/2019,MVM27
22/08/2019,MVM27
29/08/2019,MVM27
10/09/2019,MVM27
19/09/2019,MVM27
24/09/2019,MVM27
22/08/2019,MVM26
05/09/2019,MVM26
19/09/2019,MVM26
03/10/2019,MVM26
01/08/2019,MVM20
08/08/2019,MVM20
13/08/2019,MVM20
29/08/2019,MVM20
10/09/2019,MVM19
19/09/2019,MVM19
26/09/2019,MVM19
